in:NumberOfDiagonals,in:TrussHeight,out:DefMax,out:Util_1,out:Util_2,out:Util_3,out:Util_4,out:Util_5,out:Util_6,out:Util_7,out:Util_8,out:Util_9,out:Util_10,out:sig-max_1,out:sig-max_2,out:sig-max_3,out:sig-max_4,out:sig-max_5,out:sig-max_6,out:sig-max_7,out:sig-max_8,out:sig-max_9,out:sig-max_10,out:Mass,img
18,1.4,2.269409,0.093782,0.186156,0.301437,0.386167,0.427454,0.427454,0.386167,0.301437,0.186156,0.093782,3.703711,6.709118,10.99972,13.905661,15.397496,15.397496,13.905661,10.99972,6.709118,3.703711,2865.94033,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight4_Front.png
20,1.4,2.313298,0.099439,0.174492,0.284695,0.371951,0.423282,0.440457,0.423282,0.371951,0.284695,0.174492,3.927857,6.284809,10.428249,13.390327,15.242822,15.866712,15.242822,13.390327,10.428249,6.284809,2978.421985,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight4_Front.png
4,1.5,2.953103,0.139632,0.461309,0.139632,0.57486,0.57486,0.812382,0.812382,0.197932,0.213751,0.213751,5.427248,16.863666,5.427248,12.122511,12.122511,8.907998,8.907998,-3.241646,7.695041,7.695041,2267.580713,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight5_Front.png
6,1.5,2.221609,0.099605,0.362749,0.362749,0.099605,0.332873,0.332873,0.413642,0.567055,0.413642,0.179717,3.901184,13.163864,13.163864,3.901184,3.350181,3.350181,1.851024,-3.897962,1.851024,-4.368816,2329.274215,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight5_Front.png
8,1.5,1.952296,0.083832,0.302502,0.381522,0.302502,0.083832,0.252845,0.252845,0.278247,0.469344,0.469344,3.296081,10.948619,13.798936,10.948619,3.296081,0.375323,0.375323,-0.014225,-5.376967,-5.376967,2408.458464,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight5_Front.png
10,1.5,1.955334,0.079872,0.259136,0.368412,0.368412,0.259136,0.079872,0.220015,0.220015,0.215009,0.400406,3.147647,9.367264,13.288266,13.288266,9.367264,3.147647,-0.871081,-0.871081,-0.510885,-5.537239,2500.896714,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight5_Front.png
12,1.5,1.935858,0.08103,0.228929,0.344179,0.38793,0.344179,0.228929,0.08103,0.210202,0.210202,0.180753,3.19766,8.269648,12.401097,13.993997,12.401097,8.269648,3.19766,-1.446523,-1.446523,-0.555272,2603.193796,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight5_Front.png
14,1.5,1.971411,0.084855,0.206826,0.321065,0.385054,0.385054,0.321065,0.206826,0.084855,0.215093,0.215093,3.351285,7.462585,11.55938,13.879706,13.879706,11.55938,7.462585,3.351285,-1.372494,-1.372494,2712.810962,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight5_Front.png
16,1.5,2.001637,0.090083,0.190091,0.300701,0.375278,0.398857,0.375278,0.300701,0.190091,0.090083,0.220873,3.559428,6.851819,10.895813,13.51985,14.374877,13.51985,10.895813,6.851819,3.559428,-1.180252,2827.905733,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight5_Front.png
18,1.5,2.049809,0.096055,0.176989,0.283046,0.362877,0.401547,0.401547,0.362877,0.283046,0.176989,0.096055,3.796486,6.374101,10.313579,13.068437,14.46522,14.46522,13.068437,10.313579,6.374101,3.796486,2947.151325,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight5_Front.png
20,1.5,2.094044,0.102414,0.166572,0.267798,0.350094,0.398255,0.414396,0.398255,0.350094,0.267798,0.166572,4.048438,6.025324,9.796118,12.604756,14.342447,14.928506,14.342447,12.604756,9.796118,6.025324,3069.588345,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight5_Front.png
4,1.6,2.773985,0.134136,0.435333,0.134136,0.567381,0.567381,0.799833,0.799833,0.189224,0.204681,0.204681,5.220147,15.928533,5.220147,11.806233,11.806233,9.598688,9.598688,-3.015108,7.438252,7.438252,2283.854987,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight6_Front.png
6,1.6,2.011072,0.096003,0.340788,0.340788,0.096003,0.329385,0.329385,0.397242,0.535126,0.397242,0.174215,3.763989,12.369762,12.369762,3.763989,3.171745,3.171745,2.013476,-3.619898,2.013476,-4.162345,2353.083726,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight6_Front.png
8,1.6,1.759714,0.081628,0.284541,0.357263,0.284541,0.081628,0.251054,0.251054,0.266903,0.442599,0.442599,3.212556,10.30591,12.925602,10.30591,3.212556,0.24832,0.24832,0.138797,-5.078132,-5.078132,2441.195331,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight6_Front.png
10,1.6,1.767124,0.078852,0.244348,0.345643,0.345643,0.244348,0.078852,0.219601,0.219601,0.206791,0.377633,3.110247,8.83605,12.469242,12.469242,8.83605,3.110247,-0.957317,-0.957317,-0.357432,-5.266479,2543.268229,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight6_Front.png
12,1.6,1.752711,0.081015,0.216671,0.323331,0.364727,0.323331,0.216671,0.081015,0.212346,0.212346,0.174719,3.199687,7.824043,11.651611,13.158659,11.651611,7.824043,3.199687,-1.50065,-1.50065,-0.397897,2655.505145,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight6_Front.png
14,1.6,1.7895,0.085718,0.196417,0.302119,0.362532,0.362532,0.302119,0.196417,0.085718,0.218173,0.218173,3.387962,7.083386,10.878491,13.069501,13.069501,10.878491,7.083386,3.387962,-1.363149,-1.363149,2775.157193,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight6_Front.png
16,1.6,1.820747,0.091729,0.181152,0.283352,0.353923,0.376053,0.353923,0.283352,0.181152,0.091729,0.224801,3.627098,6.525497,10.252319,12.751938,13.55393,12.751938,10.252319,6.525497,3.627098,-1.145152,2900.281113,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight6_Front.png
18,1.6,1.870277,0.098411,0.169408,0.267184,0.342789,0.379191,0.379191,0.342789,0.267184,0.169408,0.098411,3.892293,6.131421,9.723621,12.346284,13.660714,13.660714,12.346284,9.723621,6.131421,3.892293,3029.506347,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight6_Front.png
20,1.6,1.915002,0.105423,0.160161,0.253234,0.33125,0.376665,0.391911,0.376665,0.33125,0.253234,0.160161,4.170151,5.865948,9.252978,11.927453,13.565713,14.119044,13.565713,11.927453,9.252978,5.865948,3161.857928,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight6_Front.png
4,1.7,2.625497,0.129674,0.412615,0.129674,0.560524,0.560524,0.795791,0.795791,0.183548,0.19833,0.19833,5.052606,15.110685,5.052606,11.516254,11.516254,10.448974,10.448974,-2.812367,7.210292,7.210292,2300.512134,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight7_Front.png
6,1.7,1.835672,0.093098,0.321625,0.321625,0.093098,0.326271,0.326271,0.382624,0.519655,0.382624,0.169523,3.653642,11.676872,11.676872,3.653642,3.010064,3.010064,2.155992,-2.970998,2.155992,-3.980445,2377.554864,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight7_Front.png
8,1.7,1.599771,0.079912,0.269001,0.336092,0.269001,0.079912,0.249558,0.249558,0.256862,0.419323,0.419323,3.147786,9.746538,12.163458,9.746538,3.147786,0.134576,0.134576,0.275727,-4.798522,-4.798522,2474.798949,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight7_Front.png
10,1.7,1.611052,0.078176,0.231642,0.325793,0.325793,0.231642,0.078176,0.219407,0.219407,0.199585,0.357827,3.086091,8.374958,11.755152,11.755152,8.374958,3.086091,-1.033464,-1.033464,-0.218132,-5.013334,2586.624503,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight7_Front.png
